K¸rzel;Warengruppe;Einheit;Preis;Jahr;Monat;Kunde;Spalte1;;
1009;Salate konventionell;3500;1,89;2019;M‰rz;Migros;;;
1009;Salate konventionell;3200;1,89;2019;M‰rz;Norma;;;
1009;Salate konventionell;7000;1,89;2019;April;B&M;;;
1009;Salate konventionell;4500;1,89;2019;April;B‰ckerei Wolf;;;
1009;Salate konventionell;21000;1,89;2019;April;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;April;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;April;Edeka Berlin;;;
1009;Salate konventionell;24000;1,89;2019;April;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;April;Frischkauf;;;
1009;Salate konventionell;4000;1,89;2019;April;HFG;;;
1009;Salate konventionell;90000;1,89;2019;April;HIT;;;
1009;Salate konventionell;7200;1,89;2019;April;Lekkerland;;;
1009;Salate konventionell;2400;1,89;2019;April;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;April;Migros;;;
1009;Salate konventionell;5000;1,89;2019;April;Norma;;;
1009;Salate konventionell;4000;1,89;2019;April;REWE;;;
1009;Salate konventionell;7000;1,89;2019;Mai;B&M;;;
1009;Salate konventionell;4000;1,89;2019;Mai;B‰ckerei Wolf;;;
1009;Salate konventionell;21000;1,89;2019;Mai;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;Mai;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Mai;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;Mai;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;Mai;Frischkauf;;;
1009;Salate konventionell;4000;1,89;2019;Mai;HFG;;;
1009;Salate konventionell;100000;1,89;2019;Mai;HIT;;;
1009;Salate konventionell;7200;1,89;2019;Mai;Lekkerland;;;
1009;Salate konventionell;3000;1,89;2019;Mai;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;Mai;Migros;;;
1009;Salate konventionell;4000;1,89;2019;Mai;REWE;;;
1009;Salate konventionell;7000;1,89;2019;Juni;B&M;;;
1009;Salate konventionell;5000;1,89;2019;Juni;B‰ckerei Wolf;;;
1009;Salate konventionell;25000;1,89;2019;Juni;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;Juni;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Juni;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;Juni;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;Juni;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;Juni;HFG;;;
1009;Salate konventionell;100000;1,89;2019;Juni;HIT;;;
1009;Salate konventionell;7200;1,89;2019;Juni;Lekkerland;;;
1009;Salate konventionell;3000;1,89;2019;Juni;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;Juni;Migros;;;
1009;Salate konventionell;5000;1,89;2019;Juni;REWE;;;
1009;Salate konventionell;7000;1,89;2019;Juli;B&M;;;
1009;Salate konventionell;5000;1,89;2019;Juli;B‰ckerei Wolf;;;
1009;Salate konventionell;25000;1,89;2019;Juli;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;Juli;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;Juli;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;Juli;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;Juli;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;Juli;HFG;;;
1009;Salate konventionell;100000;1,89;2019;Juli;HIT;;;
1009;Salate konventionell;8000;1,89;2019;Juli;Lekkerland;;;
1009;Salate konventionell;3000;1,89;2019;Juli;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;Juli;Migros;;;
1009;Salate konventionell;5000;1,89;2019;Juli;REWE;;;
1009;Salate konventionell;7000;1,89;2019;August;B&M;;;
1009;Salate konventionell;5000;1,89;2019;August;B‰ckerei Wolf;;;
1009;Salate konventionell;25000;1,89;2019;August;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;August;Bio Company;;;
1009;Salate konventionell;3000;1,89;2019;August;Edeka Berlin;;;
1009;Salate konventionell;30000;1,89;2019;August;Frischeplattform;;;
1009;Salate konventionell;6000;1,89;2019;August;Frischkauf;;;
1009;Salate konventionell;5000;1,89;2019;August;HFG;;;
1009;Salate konventionell;100000;1,89;2019;August;HIT;;;
1009;Salate konventionell;8000;1,89;2019;August;Lekkerland;;;
1009;Salate konventionell;3500;1,89;2019;August;LIDL;;;
1009;Salate konventionell;3500;1,89;2019;August;Migros;;;
1009;Salate konventionell;7000;1,89;2019;September;B&M;;;
1009;Salate konventionell;4300;1,89;2019;September;B‰ckerei Wolf;;;
1009;Salate konventionell;32000;1,89;2019;September;Backwerk;;;
1009;Salate konventionell;8000;1,89;2019;September;Bio Company;;;
